"geometry";"rivers";"model_type";"stat";"X";"Y";"alt";"id"
"153";c(3629114.60830448, 2313561.31521543, 134);"Garonne";"M2";"Up";3629114.60830448;2313561.31521543;134;"Lower_point"
"154";c(3110396.95816834, 1673706.61064302, 668);"Genil";"M1";"Est";3110396.95816834;1673706.61064302;668;"Only_point"
"155";c(3110685.49615248, 1673788.15601106, 669);"Genil";"M1";"Low";3110685.49615248;1673788.15601106;669;"Only_point"
"156";c(3110008.22300846, 1673612.46386771, 663);"Genil";"M1";"Up";3110008.22300846;1673612.46386771;663;"Only_point"
"157";c(3113751.65687729, 1672453.21272146, 703);"Genil";"M2";"Est";3113751.65687729;1672453.21272146;703;"Upper_point"
"158";c(3113938.2212392, 1672381.38490509, 698);"Genil";"M2";"Low";3113938.2212392;1672381.38490509;698;"Upper_point"
"159";c(3113655.59188021, 1672480.96486237, 699);"Genil";"M2";"Up";3113655.59188021;1672480.96486237;699;"Upper_point"
"160";c(3013450.96508553, 1712649.48634978, 178);"Genil";"M2";"Est";3013450.96508553;1712649.48634978;178;"Lower_point"
"161";c(3014261.54442667, 1712857.55906031, 183);"Genil";"M2";"Low";3014261.54442667;1712857.55906031;183;"Lower_point"
"162";c(3012826.87863767, 1712935.35711657, 172);"Genil";"M2";"Up";3012826.87863767;1712935.35711657;172;"Lower_point"
"163";c(3171640.16614159, 1761067.46754788, 412);"Guadalquivir";"M1";"Est";3171640.16614159;1761067.46754788;412;"Only_point"
"164";c(3172141.47544471, 1761627.24718739, 416);"Guadalquivir";"M1";"Low";3172141.47544471;1761627.24718739;416;"Only_point"
"165";c(3170855.20446228, 1761582.51853212, 413);"Guadalquivir";"M1";"Up";3170855.20446228;1761582.51853212;413;"Only_point"
"166";c(3190833.0781916, 1758229.1380063, 651);"Guadalquivir";"M2";"Est";3190833.0781916;1758229.1380063;651;"Upper_point"
"167";c(3190441.5457143, 1757938.61957359, 655);"Guadalquivir";"M2";"Low";3190441.5457143;1757938.61957359;655;"Upper_point"
"168";c(3191158.77949135, 1758381.09116005, 643);"Guadalquivir";"M2";"Up";3191158.77949135;1758381.09116005;643;"Upper_point"
"169";c(3121198.89984463, 1760823.41250913, 258);"Guadalquivir";"M2";"Est";3121198.89984463;1760823.41250913;258;"Lower_point"
"170";c(3121832.97180932, 1759590.97565039, 262);"Guadalquivir";"M2";"Low";3121832.97180932;1759590.97565039;262;"Lower_point"
"171";c(3120309.99273382, 1759441.24913356, 253);"Guadalquivir";"M2";"Up";3120309.99273382;1759441.24913356;253;"Lower_point"
"172";c(4115641.60402285, 2729625.2840713, 265);"Ill";"M1";"Est";4115641.60402285;2729625.2840713;265;"Only_point"
"173";c(4115690.03371637, 2729164.39400722, 272);"Ill";"M1";"Low";4115690.03371637;2729164.39400722;272;"Only_point"
"174";c(4115522.54680811, 2730030.26186937, 266);"Ill";"M1";"Up";4115522.54680811;2730030.26186937;266;"Only_point"
"175";c(4123015.43740671, 2714195.64997527, 378);"Ill";"M2";"Est";4123015.43740671;2714195.64997527;378;"Upper_point"
"176";c(4123187.60781825, 2714098.97706483, 379);"Ill";"M2";"Low";4123187.60781825;2714098.97706483;379;"Upper_point"
"177";c(4122735.39310146, 2714211.75534358, 377);"Ill";"M2";"Up";4122735.39310146;2714211.75534358;377;"Upper_point"
"178";c(4122162.55110526, 2743621.01006004, 228);"Ill";"M2";"Est";4122162.55110526;2743621.01006004;228;"Lower_point"
"179";c(4121741.08788643, 2743358.91734364, 232);"Ill";"M2";"Low";4121741.08788643;2743358.91734364;232;"Lower_point"
"180";c(4122697.78845173, 2743881.27357252, 231);"Ill";"M2";"Up";4122697.78845173;2743881.27357252;231;"Lower_point"
"181";c(4438296.80865665, 2735647.01926937, 660);"Isar";"M1";"Est";4438296.80865665;2735647.01926937;660;"Only_point"
"182";c(4438105.21104768, 2734867.52650028, 664);"Isar";"M1";"Low";4438105.21104768;2734867.52650028;664;"Only_point"
"183";c(4438611.65622322, 2736412.84396919, 656);"Isar";"M1";"Up";4438611.65622322;2736412.84396919;656;"Only_point"
"184";c(4429132.77671035, 2717273.95828368, 0);"Isar";"M2";"Est";4429132.77671035;2717273.95828368;0;"Lower_point"
"185";c(4428641.65499441, 2716741.12164787, 789);"Isar";"M2";"Low";4428641.65499441;2716741.12164787;789;"Upper_point"
"186";c(4429908.72767629, 2717305.45396103, 770);"Isar";"M2";"Up";4429908.72767629;2717305.45396103;770;"Upper_point"
"187";c(4445162.72166699, 2792599.28182097, 481);"Isar";"M2";"Est";4445162.72166699;2792599.28182097;481;"Upper_point"
"188";c(4443926.95095352, 2791109.0600657, 485);"Isar";"M2";"Low";4443926.95095352;2791109.0600657;485;"Lower_point"
"189";c(4446064.73792918, 2794421.56962249, 478);"Isar";"M2";"Up";4446064.73792918;2794421.56962249;478;"Lower_point"
"190";c(3865382.53908941, 2487486.17733738, 432);"Loire";"M1";"Est";3865382.53908941;2487486.17733738;432;"Only_point"
"191";c(3864665.24395104, 2486816.716057, 439);"Loire";"M1";"Low";3864665.24395104;2486816.716057;439;"Only_point"
"192";c(3865712.32151217, 2488282.87106603, 447);"Loire";"M1";"Up";3865712.32151217;2488282.87106603;447;"Only_point"
"193";c(3838988.7573997, 2451304.81061876, 666);"Loire";"M2";"Est";3838988.7573997;2451304.81061876;666;"Upper_point"
"194";c(3839019.49431049, 2450811.84505559, 649);"Loire";"M2";"Low";3839019.49431049;2450811.84505559;649;"Upper_point"
"195";c(3838831.37084992, 2451670.53019695, 666);"Loire";"M2";"Up";3838831.37084992;2451670.53019695;666;"Upper_point"
"196";c(3864674.83717125, 2571789.55382895, 252);"Loire";"M2";"Est";3864674.83717125;2571789.55382895;252;"Lower_point"
"197";c(3864943.01084814, 2570588.49160464, 258);"Loire";"M2";"Low";3864943.01084814;2570588.49160464;258;"Lower_point"
"198";c(3864405.63702474, 2573057.37668057, 257);"Loire";"M2";"Up";3864405.63702474;2573057.37668057;257;"Lower_point"
"199";c(3732289.4606511, 2418957.99794171, 254);"Lot";"M1";"Est";3732289.4606511;2418957.99794171;254;"Only_point"
"200";c(3733039.34945375, 2418472.70509565, 241);"Lot";"M1";"Low";3733039.34945375;2418472.70509565;241;"Only_point"
"201";c(3732012.66214858, 2419877.32451163, 241);"Lot";"M1";"Up";3732012.66214858;2419877.32451163;241;"Only_point"
"202";c(3809995.81056537, 2402358.41818389, 778);"Lot";"M2";"Est";3809995.81056537;2402358.41818389;778;"Upper_point"
"203";c(3810160.85477046, 2402147.09596112, 774);"Lot";"M2";"Low";3810160.85477046;2402147.09596112;774;"Upper_point"
